facility_chars.Fac_Name,facility_monthly_rain.January,facility_monthly_rain.February,facility_monthly_rain.March,facility_monthly_rain.April,facility_monthly_rain.May,facility_monthly_rain.June,facility_monthly_rain.July,facility_monthly_rain.August,facility_monthly_rain.September,facility_monthly_rain.October,facility_monthly_rain.November,facility_monthly_rain.December
Kailua Wastewater Treatment Plant,4.05,4.57,4.09,2.88,2.45,1.71,2.09,1.52,1.69,3.8,4.92,4.77
Wahiawa Wastewater Treatment Plant,5.56,3.81,4.05,2.07,2.6,1.65,1.87,1.45,1.93,3.86,5.12,5.64
Waianae Wastewater Treatment Plant,3.36,2.75,2.24,1.26,0.74,0.34,0.52,1.18,1.05,2.38,2.58,3.26
Honouliuli Wastewater Treatment Plant,3.61,2.45,1.95,1.03,0.78,0.32,0.41,1.45,1.7,2.22,2.56,2.94
Sand Island Wastewater Treatment Plant,2.93,3.07,3.01,1.45,1.24,0.83,0.93,0.98,1.24,2.28,3.38,3.71
Paalaa Kai Wastewater Treatment Plant,4.61,3.53,3.31,2.09,1.31,0.87,1.21,1.58,1.79,2.93,3.49,3.99
Waimanalo Wastewater Treatment Plant,5.31,4.2,4.79,2.2,2.16,1.18,1.47,1.23,1.22,3.11,5.25,5.43
Kahuku Wastewater Treatment Plant,4.33,3.86,5.48,3.02,2.33,1.92,2.38,2.43,3.48,3.98,4.9,4.45
Kalaheo Closed Sanitary Landfill,5.55,5.51,5.56,3.79,3.1,2.22,2.84,2.31,2.53,4.48,6.21,5.86
Waipahu Closed Sanitary Landfill,3.78,2.42,2.18,1.04,1.03,0.58,0.72,0.98,1.24,2.34,2.97,3.13
Waianae Closed Sanitary Landfill,3.7,2.88,2.91,1.25,1.04,0.52,0.57,1.03,1.18,2.56,2.77,3.54
Kapaa Closed Sanitary Landfill,5.5,5.14,5.77,3.82,3.18,2.17,2.83,2.27,2.48,4.47,6.22,6.1
Kawailoa Closed Sanitary Landfill,4.92,4.13,3.77,2.15,1.77,1.47,1.68,1.73,2.25,3.12,3.94,4.14
Waikiki Fire Station,3.24,2.53,3.11,1.92,1.24,0.88,1.25,1.12,1.19,2.58,3.04,3.77
Pearl City Fire Station,3.8,2.87,2.71,1.13,1.42,0.96,1.04,0.94,1.18,2.83,3.98,3.79
Kapolei Police Station,4.09,2.58,2.11,1.34,0.87,0.35,0.42,1.29,1.53,2.5,2.66,3
Kalihi Police Station,4.37,4.82,5.48,4.87,2.99,2.93,3.08,2.49,3.18,4.14,4.95,6.08
Kahuku Police Station,4.43,3.99,5.64,3.26,2.77,2.02,2.56,2.5,3.71,4.17,5.09,4.8
Mokulele Fire Station and Training Center,3.21,2.95,2.61,1.23,1.13,0.86,0.96,1.36,1.27,2.32,3.16,3.47
Kaneohe Police Station,6.33,5.98,6.17,4.55,3.47,2.64,3.25,2.78,3.13,5.16,7,6.07
Kaneohe Fire Station,6.45,6.07,6.29,4.71,3.58,2.71,3.34,2.83,3.23,5.29,7.21,6.23
Alapai Police Station,3.37,2.91,3.86,2.12,1.49,1.16,1.45,1.18,1.53,2.7,3.76,4.27
Kailua Police Station,4.62,3.8,4.4,2.87,2.17,1.52,2.19,1.39,1.59,3.62,4.82,4.93
Mililani-Mauka Fire Station,6.86,3.86,5.36,2.72,3.19,2.93,3.15,2.04,2.57,4.34,5.18,5.57
Kalihi-Uka Fire Station,4.19,4.66,5.3,4.6,2.8,2.7,2.85,2.32,2.98,3.96,4.81,5.85
Nuuanu Fire Station,5.68,4.59,5.92,5.08,3.31,3.11,3.7,3.44,3.63,4.56,5.75,6.52
Waiau Fire Station,4.54,3.59,3.62,2.1,1.93,1.65,1.63,1.37,1.74,3.8,4.64,4.67
Kapolei Fire Station,3.92,2.47,1.95,1.31,0.82,0.29,0.36,1.1,1.47,2.52,2.66,2.95
Pearl City Police Station,4.06,2.99,2.91,1.23,1.57,1.12,1.15,0.96,1.27,3.13,4.25,4.08
Central Fire Station,3.34,3.21,3.87,2.21,1.38,1.21,1.56,1.31,1.65,2.66,3.85,4.14
Olomana Fire Station,4.93,4.16,5.71,3.21,2.7,1.86,2.45,2,1.98,4.01,5.7,6.05
Waipahu Vehicle Maintenance Shop,3.85,2.33,2.25,1.02,1.09,0.64,0.79,0.92,1.27,2.36,3.12,3.17
Sunset Beach Fire Station,5.78,4.46,4.14,3.36,2.77,2.37,2.97,2.69,3.14,3.86,5.01,4.92
Waikele Fire Station,4.12,2.31,2.55,1,1.28,0.85,1.01,0.88,1.27,2.6,3.62,3.5
