facility_chars.Fac_Name,facility_types.Fac_Type,facility_chars.Fac_Add,facility_chars.Fac_TMK,facility_chars.GW_Risk,facility_chars.Fac_Area_Acre,facility_chars.Fac_Area,facility_chars.Bldg_Area,facility_chars.Pave_Area,facility_chars.Unpave_Area,facility_chars.Imperv,facility_chars.Tm,facility_chars.Runoff_Coeff,facility_chars.Length,facility_chars.Char_Ground,facility_chars.Fac_Slope,facility_chars.TC,facility_chars.CF,facility_chars.Q_Peak,facility_chars.WQV,facility_chars.Des_Storm_Depth,facility_chars.Runoff_Coeff2,facility_chars.Imperv2,facility_chars.Fac_Area2,facility_chars.WQFR,facility_chars.Runoff_Coeff3,facility_chars.WQ_Intensity,facility_chars.Fac_Area3,facility_chars.OP_Shutdown,facility_chars.Soil_Type,facility_chars.FP_100_Year,facility_chars.Num_Ind_DP,facility_chars.Runoff_Type,facility_chars.Ex_Struct_BMP,facility_chars.Count_Pipe,facility_chars.Count_Sheet,facility_chars.Count_CB,facility_chars.Count_Chan,facility_chars.Count_DS,facility_chars.Count_TD,facility_chars.SMA_Area,facility_chars.OFFSITE_SD_Exist,facility_chars.DS_SS_Exist,facility_chars.EM_Area,facility_chars.Dmg_Pave,facility_chars.TFMR_Exist,facility_chars.Can_Add_SD,facility_chars.Indus_Area,facility_chars.Indus_WQV,facility_chars.Indus_WQFR
Kalihi-Palama Bus & Paratransit Facility,Bus Maintenance Facility,"611 and 811 Middle Street 
Honolulu, Hawaii 96819","(1) 1-2-015:006, (1) 1-2-016-006:007, (1) 1-2-018-003, 009, 011",High,24.6671258,1074500,206538,867962,0,1,2.4,0.9,403,Paved,0.014888337,7.5,2.5,133.2024793,85064.58333,1,0.95,1,24.6671258,13.32024793,0.9,0.4,24.6671258,0,Quarry,Partial,3,Catch Basin to Piped Outlet,OWS,0,0,3,0,0,0,No,Yes,Yes,120,0,Yes,Yes,1045400,31774.3,12.96
Pearl City Bus Facility,Bus Maintenance Facility,"1200 Waimano Home Road 
Pearl City, Hawaii 96782",(1) 9-7-024:047,High,24.04299816,1047313,122654,854990,69669,0.933478339,2.4,0.9,687,Paved,0.02238806,7.5,1.7,88.28588926,77687.10417,1,0.890130505,0.933478339,24.04299816,12.98321901,0.9,0.4,24.04299816,0,Silty Clay Loam,Undetermined,2,Catch Basin to Piped Outlet,OWS,0,0,2,0,0,0,No,Yes,Yes,120,0,Yes,Yes,1047313,77687.10417,12.98321901
Kapaa Refuse Transfer Station,Refuse Transfer Stations/Collection Yards/Centers,"100 Kapaa Quarry Road
Kailua, Hawaii, 96734",(1) 4-2-015:005,Medium,13.14,572378.4,36692,216424,319262.4,0.442217945,2.8,0.9,694,Paved,0.02,8,2.5,82.782,21368.61,1,0.447996151,0.442217945,13.14,7.0956,0.9,0.4,13.14,0,Quarry,No,2,Catch Basin to Piped Outlet,None,0,0,2,0,0,0,Yes,No,No,216424,54106,Yes,Yes,403900,19531.8,5.01
Kawailoa Refuse Transfer Station,Refuse Transfer Stations/Collection Yards/Centers,"62-180 Kawailoa Drive
Haleiwa, Hawaii 96712",(1) 6-1-005:018,High,3.049494949,132836,1937,50750,80149,0.396631937,2.6,0.9,154,Paved,0.019607843,6,2.6,18.55312727,4505.008333,1,0.406968743,0.396631937,3.049494949,1.646727273,0.9,0.4,3.049494949,0,Coral Outcrop,No,1,Piped Outlet,None,1,1,0,0,0,0,Yes,No,No,50750,12687.5,Yes,No,132836,4505.008333,1.646727273
Keehi Refuse Transfer Station,Refuse Transfer Stations/Collection Yards/Centers,"606 Middle Street
Honolulu, Hawaii 96819",(1) 1-1-006:013,High,5.589233242,243467,56755,131614,55098,0.773694176,2.3,0.9,544,Paved,0.044117647,6.5,2.6,30.08125331,15142.12083,1,0.746324759,0.773694176,5.589233242,3.01818595,0.9,0.4,5.589233242,0,Fill,Yes,1,Catch Basin to Piped Outlet,None,0,0,1,0,0,0,No ,Yes,Yes,131614,32903.5,Yes,Yes,243467,15142.12083,3.01818595
Honolulu Refuse Collection Yard,Refuse Transfer Stations/Collection Yards/Centers,"626 Middle Street
Honolulu, Hawaii 96819",(1) 1-1-008:002,High,1.818227732,79202,5993,54098,19111,0.758705588,2.3,0.9,343,Paved,0.013119534,6.5,2.5,9.409328512,4836.833333,1,0.732835029,0.758705588,1.818227732,0.981842975,0.9,0.4,1.818227732,0,Fill,Partial,1,Sheet Flow,None,0,1,0,0,0,0,No ,No,No,54098,13524.5,No,Yes,79202,4836.833333,0.981842975
Pearl City Refuse Collection Yard,Refuse Transfer Stations/Collection Yards/Centers,"952 Third Street
Pearl City, Hawaii 96782",(1) 9-7-023:009,High,0.715977961,31188,17408,13780,0,1,2.4,0.9,343,Paved,0.005,6,2.6,4.020932231,2469.05,1,0.95,1,0.715977961,0.386628099,0.9,0.4,0.715977961,0,Loam,No,1,Catch Basin to Piped Outlet,None,0,0,1,0,0,0,No,Yes,Yes,13780,3445,No,Yes,31188,2469.05,0.386628099
Kapaa Refuse Collection Yard,Refuse Transfer Stations/Collection Yards/Centers,"100 Kapaa Quarry Road
Kailua, Hawaii 96734",(1) 4-2-015:005,High,3.067056933,133601,4016,67581,62004,0.535901677,2.7,0.9,754,Paved,0.021220159,8.5,2.4,17.88707603,5926.445833,1,0.53231151,0.535901677,3.067056933,1.656210744,0.9,0.4,3.067056933,0,Quarry,No,1,Sheet Flow,Detention Pond,0,1,0,0,0,0,Yes,Yes,No,67581,16895.25,No,Yes,133601,5926.445833,1.656210744
Waianae Refuse Collection Yard,Refuse Transfer Stations/Collection Yards/Centers,"86-160 Farrington Highway
Waianae, Hawaii 96792",(1) 8-6-001:044,High,3.345224977,145718,4299,30888,110531,0.241473257,2.3,0.9,113,Paved/Gravel,0.02,14.5,2.3,15.92661612,3246.183333,1,0.267325931,0.241473257,3.345224977,1.806421488,0.9,0.4,3.345224977,0,Clay,Partial,1,Sheet Flow,None,0,1,0,0,0,0,Yes,No,Yes,30888,7722,No,No,145718,3246.183333,1.806421488
Ewa Refuse Convenience Center,Refuse Transfer Stations/Collection Yards/Centers,"91-1000 Geiger Road,
Ewa Beach, Hawaii 96706",(1) 9-1-013:007,Medium,1.105922865,48174,0,24330,23844,0.505044215,2,0.85,431,Paved,0.01,7.8,2.5,4.700172176,2025.475,1,0.504539793,0.505044215,1.105922865,0.564020661,0.85,0.4,1.105922865,0,Mamala Cobbly Silty Clay Loam,Undetermined area,1,Channelized Flow,Grass Swale,0,2,0,1,0,0,No ,No ,Yes,24330,6082.5,No ,No,48174,2025.475,0.564020661
