facility_chars.Fac_Name,facility_risks.Category_RiskFactor,facility_risks.Inherent_BaseRisk,facility_risks.HousekeepingBMP_BaseRisk,facility_risks.SWPlan_BaseRisk,facility_risks.BMPInspectionDeficiency_Rate
Honouliuli Wastewater Treatment Plant,150.003019,1.02813311,1.044884673,0.33722062,0
Sand Island Wastewater Treatment Plant,150.003019,1.029455785,1.457105737,0.35458823,0
Kalihi-Palama Bus & Paratransit Facility,150.003019,1.31122172,0.96354964,0.337498446,1
Keehi Refuse Transfer Station,150.003019,1.289361777,1.091403839,0.428664443,0
Kailua Wastewater Treatment Plant,150.003019,1.330402515,1.060815607,0.354589281,0
Waianae Wastewater Treatment Plant,150.003019,1.008214127,0.360433348,0.360433348,0
Halawa (DRM) Corporation Yard,150.003019,1.092079947,1.197619335,0.399258098,1
Kapolei Corporation Yard,150.003019,1.004327893,1.005832676,0.342382334,1
Pearl City Bus Facility,150.003019,1.292441768,0.982110289,0.382343806,1
Kaneohe Corporation Yard,150.003019,1.379097932,0.361235079,0.361235079,0
Waipahu Vehicle Maintenance Shop,150.003019,1.257463541,1.319746394,0.339739342,0
Waipahu Training Academy,150.003019,1.263078984,0.445458268,0.445458268,0
Waialua Corporation & Refuse Collection Yard,150.003019,1.293695078,0.378761282,0.378761282,0.565
Kalaheo Closed Sanitary Landfill,150.003019,1.437338497,0.325536877,0.325536877,0
Halawa (AES) Corporation Yard,150.003019,1.092965925,1.169741715,0.371380478,0
Manana (PBEM) Corporation Yard,150.003019,1.031105269,0.3965163,0.3965163,0
Manana (DPR-MSS) Corporation Yard,150.003019,1.031105269,0.347234269,0.347234269,0
Pearl City Refuse Collection Yard,150.003019,1.271191986,0.452945792,0.452945792,0.855
Laie Refuse Convenience Center,150.003019,1.364567007,0.380137866,0.380137866,0
Wahiawa Corporation & Refuse Collection Yard,150.003019,1.575075509,0.339380036,0.339380036,0
Halawa (CSM) Baseyard (Corporation Yard),150.003019,1.089924215,1.135741075,0.351616532,0
Kailua Corporation Yard,150.003019,1.08788711,0.350812408,0.350812408,0.75
Waianae Closed Sanitary Landfill,150.003019,1.026440909,0.326474242,0.326474242,0
Kapaa Closed Sanitary Landfill,150.003019,1.43576412,0.3260221,0.3260221,0
Wahiawa Wastewater Treatment Plant,150.003019,1.573858091,0.347263849,0.347263849,0
Wahiawa Refuse Convenience Center,150.003019,1.568001236,0.388486898,0.388486898,0
Laie Corporation & Refuse Collection Yard,150.003019,1.365953505,0.324503433,0.324503433,0
Honolulu Refuse Collection Yard,150.003019,1.287251649,0.3510294,0.3510294,0
Waimanalo Refuse Convenience Center,150.003019,1.062797588,0.401021222,0.401021222,0
Waipahu Closed Sanitary Landfill,150.003019,1.283273979,0.32969212,0.32969212,0
Kokea (PBEM) Corporation Yard,150.003019,1.283793274,0.342742189,0.342742189,0
Waipahu Fire Station,84.99629594,1.256091306,1.330848809,0.359531441,1
Mililani-Mauka Fire Station,84.99629594,1.102280241,1.351057216,0.378794201,1
Pali Golf Course,84.99629594,1.449384589,0.973221552,0.366384309,1
Kapaa Refuse Transfer Station,150.003019,1.354260643,0.394759175,0.394759175,0
Kapaa (AES) Corporation Yard,150.003019,1.351401141,0.388583985,0.388583985,0
Wahiawa Police Station,84.99629594,1.596985324,0.532759312,0.532759312,1
Pearl City (DRM) Corporation Yard,150.003019,1.273480149,0.347002997,0.347002997,0
Waipahu Refuse Convenience Center,150.003019,1.255812467,0.368134321,0.368134321,0
Umi Street (AES) Fueling Facility,84.99629594,1.298150177,1.001456291,0.32822,1
Kapolei Fire Station,84.99629594,1.002491607,1.295449696,0.326699696,1
Manana (DTS) Corporation Yard,150.003019,1.031105269,0.460004844,0.460004844,0
Kapaa Refuse Collection Yard,150.003019,1.350908276,0.339225185,0.339225185,0
Kaneohe Police Station,84.99629594,1.636303339,0.456923509,0.456923509,1
Pearl City (AES) Corporation Yard,150.003019,1.273322904,0.345706203,0.345706203,0
Kapolei Police Station,84.99629594,1.007593568,1.162656723,0.521292595,0.835
Ahuimanu Dewatering Facility,150.003019,1.169268906,0.325944102,0.325944102,0
Sand Island Dewatering Facility,150.003019,1.014760869,0.349850867,0.349850867,0
Waianae Police Station,84.99629594,1.252125395,1.102872815,0.48378916,0.595
Kaneohe Fire Station,84.99629594,1.641438082,0.353674846,0.353674846,1
Kawailoa Refuse Transfer Station,150.003019,1.054280986,0.359764711,0.359764711,0
Kawailoa Closed Sanitary Landfill,150.003019,1.069244329,0.316153679,0.316153679,0
Manoa Fire Station,84.99629594,1.664342946,0.321330952,0.321330952,1
Palolo Fire Station,84.99629594,1.630847782,0.336702988,0.336702988,1
Olomana Fire Station,84.99629594,1.590534715,0.35112973,0.35112973,1
Wahiawa Fire Station,84.99629594,1.588633873,0.350737563,0.350737563,1
Ala Wai Golf Course,84.99629594,1.523276791,0.372498107,0.372498107,1
Kahuku Police Station,84.99629594,1.341441385,0.462384905,0.462384905,1
Makiki Fire Station,84.99629594,1.55886589,0.327044647,0.327044647,1
Pawaa Fire Station,84.99629594,1.52723486,0.340321393,0.340321393,1
Alapai Police Station,84.99629594,1.284817137,0.459276257,0.459276257,1
McCully (-Moiliili) Fire Station,84.99629594,1.530005605,0.327327659,0.327327659,1
Waianae Refuse Convenience Center,150.003019,1.008214692,0.364244733,0.364244733,0
Kahaluu Fire Station,84.99629594,1.440130019,0.363558363,0.363558363,1
Waikiki Fire Station,84.99629594,1.518073039,0.323415314,0.323415314,1
Ewa Refuse Convenience Center,150.003019,1.000678484,0.351229587,0.351229587,0
Waianae Refuse Collection Yard,150.003019,1.002867173,0.323701529,0.323701529,0
East Kapolei Fire Station,84.99629594,1.002558288,1.281284139,0.312534139,0.505
Nuuanu Fire Station,84.99629594,1.381363402,0.355588898,0.355588898,1
Kalihi-Uka Fire Station,84.99629594,1.34932199,0.34256967,0.34256967,1
Kaaawa Fire Station,84.99629594,1.385525181,0.319668929,0.319668929,1
Waiau Fire Station,84.99629594,1.30388552,0.353963144,0.353963144,1
Kailua Police Station,84.99629594,1.064180109,0.473774766,0.473774766,1
Pearl City Fire Station,84.99629594,1.270623468,0.368383271,0.368383271,1
Kalihi Fire Station,84.99629594,1.304765576,0.350261173,0.350261173,1
Aiea Fire Station,84.99629594,1.30676801,0.343833249,0.343833249,1
Moanalua Fire Station,84.99629594,1.291936477,0.350937818,0.350937818,1
Ted Makalena Golf Course,84.99629594,1.255901348,0.368344478,0.368344478,1
Kuakini Fire Station,84.99629594,1.327124237,0.314002283,0.314002283,1
Wailupe Fire Station,84.99629594,1.289968585,0.332170471,0.332170471,1
Central Fire Station,84.99629594,1.28492404,0.328160863,0.328160863,1
Aikahi Fire Station,84.99629594,1.316921017,0.309200802,0.309200802,1
Kalihi Police Station,84.99629594,1.358460298,0.431958327,0.431958327,0.705
Pearl City Police Station,84.99629594,1.029267944,0.444320677,0.444320677,1
Kaimuki Fire Station,84.99629594,1.28359139,0.316735182,0.316735182,1
Sunset Beach Fire Station,84.99629594,1.093316514,0.400880289,0.400880289,1
Waianae Fire Station,84.99629594,1.251960947,0.309450503,0.309450503,1
Kalihi-Kai Fire Station,84.99629594,1.030957464,0.403872599,0.403872599,1
Hauula Fire Station,84.99629594,1.172738248,0.315908859,0.315908859,1
Mokulele Fire Station and Training Center,84.99629594,1.014999816,0.37665151,0.37665151,1
Kahuku Fire Station,84.99629594,1.091362762,0.338282668,0.338282668,1
Waikele Fire Station,84.99629594,1.014362607,0.375760933,0.375760933,1
Waimanalo Fire Station,84.99629594,1.063287152,0.348885305,0.348885305,1
Waialua Fire Station,84.99629594,1.03830788,0.353490632,0.353490632,1
Makakilo Fire Station,84.99629594,1.023944136,0.344798117,0.344798117,1
Kailua Fire Station,84.99629594,1.064342268,0.319337859,0.319337859,1
Mililani Fire Station,84.99629594,1.060129365,0.320931736,0.320931736,1
Hawaii-Kai Fire Station,84.99629594,1.039149961,0.317421367,0.317421367,1
West Loch Golf Course,84.99629594,1.003734145,0.334427565,0.334427565,1
Aircraft One Fire Station,84.99629594,1.010928744,0.330828549,0.330828549,1
Kakaako Fire Station and Main Complex,84.99629594,1.022115266,0.320750013,0.320750013,1
Nanakuli Fire Station,84.99629594,1.020143249,0.317303878,0.317303878,1
Ewa Villages Golf Course,84.99629594,1.001452609,0.326497956,0.326497956,1
Ewa Beach Fire Station,84.99629594,1.001172373,0.318377797,0.318377797,1
