NEL Column,I,II,III,IV,V,VI,VII,VIII,IX
wrs_tss,30,50,Report Only,Report Only,Report Only,Report Only,Report Only,Report Only,Report Only
wrs_p,0.06,0.1,Report Only,0.13,0.05,0.04,0.05,0.03,0.04
wrs_n,0.38,0.52,Report Only,0.55,0.35,0.25,0.35,0.18,0.25
wrs_nn,0.09,0.18,Report Only,0.04,0.025,0.014,0.02,0.01,0.014
wrs_og,15,15,15,15,15,15,15,15,15
wrs_phmin,5.5,5.5,5.5,6.8,7,7,7,7.6,7.6
wrs_phmax,8,8,8,8.8,8.6,8.6,8.6,8.6,8.6
wrs_an,Report Only,Report Only,Report Only,0.02,0.01,0.0085,0.013,0.005,0.0085
wrs_turbidity,5.5,15,Report Only,8,3,1,3,0.5,1.25
wrs_cu,6,6,6,2.9,2.9,2.9,2.9,2.9,2.9
wrs_zn,22,22,22,95,95,95,95,95,95
wrs_fe,1000,1000,1000,1000,1000,1000,1000,1000,1000
