facility_chars.Fac_Name,facility_chars.Fac_Add,facility_chars.Fac_TMK,facility_chars.Fac_Dept,facility_types.Fac_Type,facility_chars.Permit_Table,facility_chars.PBP_Category,facility_chars.NEL_Column
Honouliuli Wastewater Treatment Plant,"91-1000 Geiger Road, Ewa Beach, Hawaii 96706",9-1-013 : 007,ENV,WWTP,Table 1,#2.wwtp,I & II
Sand Island Wastewater Treatment Plant,"1350 Sand Island Parkway Road, Honolulu, Hawaii 96819",1-5-041 : 005,ENV,WWTP,Table 1,#2.wwtp,VII
Kalihi-Palama Bus & Paratransit Facility,"611 and 811 Middle Street, Honolulu, Hawaii 96819","1-2-015 : 006 / 1-2-016 : 006, 007 / 1-2-018 : 003, 009, 011",DTS,BMF,Table 1,#2,I & II
Keehi Refuse Transfer Station,"606 Middle Street, Honolulu, Hawaii 96819",1-1-006 : 013,ENV,RTS,Table 1,#2,I & II
Kailua Wastewater Treatment Plant,"95 Kaneohe Bay Drive, Kailua, Hawaii 96734",4-4-001 : 081,ENV,WWTP,Table 1,#2.wwtp,III
Waianae Wastewater Treatment Plant,"86-100 Farrington Highway, Waianae, Hawaii 96792",8-6-001 : 044,ENV,WWTP,Table 1,#1.wwtp,VIII
Halawa (DRM) Corporation Yard,"99-1077 Iwaena Street, Aiea, Hawaii 96701",9-9-073 : 029,DFM,CY,Table 1,#2,I & II
Kapolei Corporation Yard,"91-140 Olai Street, Kapolei, Hawaii 96707",9-1-026 : 004,DFM,CY,Table 1,#2,IX
Pearl City Bus Facility,"1200 Waimano Home Road, Pearl City, Hawaii 96782",9-7-024 : 047,DTS,BMF,Table 1,#2,I & II
Kaneohe Corporation Yard,"46-231 Kamehameha Highway, Kaneohe, Hawaii 96744",4-6-004 : 020,DFM,CY,Table 1,#1,VII
Waipahu Vehicle Maintenance Shop,"93-145 Waipahu Depot Street, Waipahu, Hawaii 96797",9-3-002 : 009,HFD,OTH,Table 1,#2,I & II
Waipahu Training Academy,"93-093 Waipahu Depot Street, Waipahu, Hawaii 96797",9-3-002 : 009,HPD,OTH,Table 1,#1,IV
Waialua Corporation & Refuse Collection Yard,"61-126 Emerson Road, Haleiwa, Hawaii 96712",6-2-012 : 015,DFM,CY,Table 1,#1,V
Kalaheo Closed Sanitary Landfill,"Kapaa Quarry Place, Kailua, Hawaii 96744",4-2-015 : 009,ENV,CSL,Table 1,#1.csl,III
Halawa (AES) Corporation Yard,"99-999 Iwaena Street, Aiea, Hawaii 96701","9-9-073 : 027, 029",DFM,CY,Table 1,#2,I & II
Manana (PBEM) Corporation Yard,"1001 Makolu Street, Pearl City, Hawaii 96782",9-7-024 : 041,DFM,CY,Table 1,#1,I & II
Manana (DPR-MSS) Corporation Yard,"1001 Makolu Street, Pearl City, Hawaii 96782",9-7-024 : 041,DPR,CY,Table 1,#1,I & II
Pearl City Refuse Collection Yard,"952 Third Street, Pearl City, Hawaii 96782",9-7-023 : 009,ENV,RTS,Table 1,#1,I & II
Laie Refuse Convenience Center,"56-020 Kamehameha Highway, Laie, Hawaii 96762",5-6-006 : 001,ENV,RTS,Table 1,#1,I & II
Wahiawa Corporation & Refuse Collection Yard,"127 California Avenue, Wahiawa, Hawaii 96786",7-3-007 : 004,DFM,CY,Table 1,#1,III
Halawa (CSM) Baseyard (Corporation Yard),"99-989 Iwaena Street, Aiea, Hawaii 96701",9-9-073 : 027,ENV,CY,Table 1,#2,I & II
Kailua Corporation Yard,"42-377 Kalanianaole Highway, Kailua, Hawaii 96734",4-2-098 : 047,DFM,CY,Table 1,#1,I & II
Waianae Closed Sanitary Landfill,"Hoopuhi Street, Waianae, Hawaii 96792",8-5-003 : 001,ENV,CSL,Table 1,#1.csl,I & II
Kapaa Closed Sanitary Landfill,"Kapaa Quarry Road, Kailua, Hawaii 96744","4-2-015 : 003, 004",ENV,CSL,Table 1,#1.csl,III
Wahiawa Wastewater Treatment Plant,"111 California Avenue, Wahiawa, Hawaii 96786",7-3-007 : 002,ENV,WWTP,Table 1,#1.wwtp,III
Wahiawa Refuse Convenience Center,"71-129 Wilikina Drive, Wahiawa, Hawaii, 96786",7-1-001 : 009,ENV,RTS,Table 1,#1,I & II
Laie Corporation & Refuse Collection Yard,"56-020 Kamehameha Highway, Laie, Hawaii 96762",5-6-006 : 001,DFM,CY,Table 1,#1,I & II
Honolulu Refuse Collection Yard,"626 Middle Street, Honolulu, Hawaii 96819",1-1-008 : 002,ENV,RTS,Table 1,#1,I & II
Waimanalo Refuse Convenience Center,"41-241 Hihimanu Street, Waimanalo, Hawaii 96795",4-1-009 : 283,ENV,RTS,Table 1,#1,I & II
Waipahu Closed Sanitary Landfill,"Waipahu Depot Road, Waipahu, Hawaii 96797","9-3-002 : 002, 027, Portions of 009, 001, 028",ENV,CSL,Table 1,#1.csl,IV
Kokea (PBEM) Corporation Yard,"455 Kokea Street, Honolulu, Hawaii 96817",1-5-020 : 009,DFM,CY,Table 1,#1,VII
Waipahu Fire Station,"94-121 Leonui Street, Waipahu, Hawaii 96797",9-4-048 : 050,HFD,FPS,Table 1a,#2.f,IV
Mililani-Mauka Fire Station,"95-1990 Meheula Parkway, Mililani, Hawaii 96789",9-5-049 : 005,HFD,FPS,Table 1a,#2.f,I & II
Pali Golf Course,"45-050 Kamehameha Highway, Kaneohe, Hawaii 96744",4-5-035 : 001 and 009,DES,GC,Table 1a,#2.f,I & II
Kapaa Refuse Transfer Station,"100 Kapaa Quarry Road, Kailua, Hawaii 96734",4-2-015 : 005,ENV,RTS,Table 1,#1,III
Kapaa (AES) Corporation Yard,"100 Kapaa Quarry Road, Kailua, Hawaii 96734",4-2-015 : 005,DFM,CY,Table 1,#1,III
Wahiawa Police Station,"330 North Cane Street, Wahiawa, Hawaii 96786",7-4-007 : 006,HPD,FPS,Table 1a,#1.f,I & II
Pearl City (DRM) Corporation Yard,"952 Third Street, Pearl City, Hawaii 96782",9-7-023 : 009,DFM,CY,Table 1,#1,I & II
Waipahu Refuse Convenience Center,"93-071 Waipahu Depot Street, Waipahu, Hawaii 96707",9-3-002 : 009,ENV,RTS,Table 1,#1,I & II
Umi Street (AES) Fueling Facility,"811 Umi Street, Honolulu, Hawaii 96819",1-2-014 : 031,DFM,OTH,Table 1A,#2.f,I & II
Kapolei Fire Station,"2020 Lauwilwili Avenue, Kapolei, Hawaii 96707",9-1-075 : 037,HFD,FPS,Table 1a,#2.f,IX
Manana (DTS) Corporation Yard,"1001 Makolu Street, Pearl City, Hawaii 96782",9-7-024 : 041,DTS,CY,Table 1,#1,I & II
