facility_chars.Fac_Name,existing_pollutant_concentrations.sample_point_name,existing_pollutant_concentrations.sample_date,existing_pollutant_concentrations.c_tss,existing_pollutant_concentrations.c_p,existing_pollutant_concentrations.c_n,existing_pollutant_concentrations.c_nn,existing_pollutant_concentrations.c_og,existing_pollutant_concentrations.c_an,existing_pollutant_concentrations.c_turbidity,existing_pollutant_concentrations.c_cu,existing_pollutant_concentrations.c_zn,existing_pollutant_concentrations.c_fe,existing_pollutant_concentrations.c_phmin,existing_pollutant_concentrations.c_phmax,existing_pollutant_concentrations.sample_method
Aikahi Fire Station,CHFDAIK,2/3/2015,283,0.458,1.8,0.05,4.8,0.079,29.9,None,None,None,7.83,7.83,infield
Central Oahu Regional Park (including Maintenance Baseyard),CDPRCEN,3/9/2013,34,1.69,3.41,1.62,5.7,0.284,61.4,None,None,None,7.58,7.58,infield
Ewa Villages Golf Course,CDESEVA,9/11/2015,200,1.8,4.986,0.466,0,0.075,171,None,None,None,8.02,8.02,infield
Halawa (AES) Corporation Yard,CAESHAL,4/20/2017,None,0.3,2.13,0.3,None,None,22,None,None,None,None,None,infield
Halawa (AES) Corporation Yard,CAESHAL,2/11/2017,None,0.146,5.07,0.21,None,None,21,None,None,None,None,None,infield
Halawa (AES) Corporation Yard,CAESHAL,12/8/2016,30,0.2,1.24,0.37,0,0,28.1,None,None,None,7.9,7.9,infield
Halawa (AES) Corporation Yard,CAESHAL,6/17/2016,23,0.182,0.85,0,0,0,24.3,None,None,None,6.87,6.87,infield
Halawa (AES) Corporation Yard,CAESHAL,5/2/2014,42.5,0.23,1.161,0.101,4.9,0.05,29.3,None,None,None,7.65,7.65,infield
Halawa (AES) Corporation Yard,CAESHAL,3/9/2013,53.5,0.337,2.485,0.545,None,0.16,None,None,None,None,None,None,infield
Halawa (AES) Corporation Yard,CAESHAL,1/27/2013,None,None,None,None,4.7,None,23.6,None,None,None,7.76,7.76,infield
Halawa (CSM) Baseyard (Corporation Yard),CWCSMHAL,5/2/2014,30.5,0.161,1.152,0.092,4.8,0.05,17.4,None,None,None,7.55,7.55,infield
Halawa (CSM) Baseyard (Corporation Yard),CWCSMHAL,1/27/2013,233,0.558,1.243,0.203,4.7,0.068,240,None,None,None,7.45,7.45,infield
Halawa (DRM) Corporation Yard,CDRMHAL,4/20/2017,None,0.5,1.69,None,None,None,29,None,None,None,None,None,infield
Halawa (DRM) Corporation Yard,CDRMHAL,2/11/2017,None,0.2,0.59,None,None,None,29,None,None,None,7.9,7.9,infield
Halawa (DRM) Corporation Yard,CDRMHAL,12/8/2016,28,4.8,0.97,0.11,0,0,33.5,None,None,None,8.3,8.3,infield
Halawa (DRM) Corporation Yard,CDRMHAL,6/17/2016,70,0.3,1.05,0,0,0.267,51.8,None,None,None,6.7,6.7,infield
Halawa (DRM) Corporation Yard,CDRMHAL,5/2/2014,8,0.248,1.221,0.161,5.2,0.05,63.6,None,None,None,7.48,7.48,infield
