"","disease","state","year","weeks_reporting","count","population"
"1","Hepatitis A","Alabama",1966,50,321,3345787
"2","Hepatitis A","Alabama",1967,49,291,3364130
"3","Hepatitis A","Alabama",1968,52,314,3386068
"4","Hepatitis A","Alabama",1969,49,380,3412450
"5","Hepatitis A","Alabama",1970,51,413,3444165
"6","Hepatitis A","Alabama",1971,51,378,3481798
"7","Hepatitis A","Alabama",1972,45,342,3524543
"8","Hepatitis A","Alabama",1973,45,467,3571209
"9","Hepatitis A","Alabama",1974,45,244,3620548
"10","Hepatitis A","Alabama",1975,46,286,3671246
"11","Hepatitis A","Alabama",1976,50,220,3721914
"12","Hepatitis A","Alabama",1977,43,206,3771085
"13","Hepatitis A","Alabama",1978,41,203,3817217
"14","Hepatitis A","Alabama",1979,47,257,3858703
"15","Hepatitis A","Alabama",1980,37,200,3893888
"16","Hepatitis A","Alabama",1981,40,138,3921581
"17","Hepatitis A","Alabama",1982,43,128,3942588
"18","Hepatitis A","Alabama",1983,43,178,3958271
"19","Hepatitis A","Alabama",1984,35,115,3970041
"20","Hepatitis A","Alabama",1985,22,37,3979341
"21","Hepatitis A","Alabama",1986,26,51,3987637
"22","Hepatitis A","Alabama",1987,36,81,3996407
"23","Hepatitis A","Alabama",1988,20,13,4007144
"24","Hepatitis A","Alabama",1989,32,56,4021358
"25","Hepatitis A","Alabama",1990,41,86,4040587
"26","Hepatitis A","Alabama",1991,38,39,4066003
"27","Hepatitis A","Alabama",1992,34,35,4097169
"28","Hepatitis A","Alabama",1993,27,40,4133242
"29","Hepatitis A","Alabama",1994,29,72,4173361
"30","Hepatitis A","Alabama",1995,38,75,4216645
"31","Hepatitis A","Alabama",1996,44,196,4262177
"32","Hepatitis A","Alabama",1997,26,40,4309007
"33","Hepatitis A","Alabama",1998,34,64,4356137
"34","Hepatitis A","Alabama",1999,35,52,4402529
"35","Hepatitis A","Alabama",2000,42,53,4447100
"36","Hepatitis A","Alabama",2001,41,66,4488959
"37","Hepatitis A","Alabama",2002,47,35,4528129
"38","Hepatitis A","Alabama",2003,47,14,4564878
"39","Hepatitis A","Alabama",2004,41,6,4599490
"40","Hepatitis A","Alabama",2005,47,34,4632262
"41","Hepatitis A","Alabama",2006,42,17,4663504
"42","Hepatitis A","Alabama",2007,48,20,4693536
"43","Hepatitis A","Alabama",2008,49,10,4722691
"44","Hepatitis A","Alabama",2009,49,10,4751307
"45","Hepatitis A","Alabama",2010,51,8,4779736
"46","Hepatitis A","Alabama",2011,27,7,4808274
"47","Hepatitis A","Alaska",1966,34,90,268476
"48","Hepatitis A","Alaska",1967,22,39,276180
"49","Hepatitis A","Alaska",1968,31,84,284068
"50","Hepatitis A","Alaska",1969,32,63,292136
"51","Hepatitis A","Alaska",1970,32,113,300382
"52","Hepatitis A","Alaska",1971,28,96,308810
"53","Hepatitis A","Alaska",1972,37,199,317458
"54","Hepatitis A","Alaska",1973,32,225,326376
"55","Hepatitis A","Alaska",1974,30,248,335621
"56","Hepatitis A","Alaska",1975,37,409,345253
"57","Hepatitis A","Alaska",1976,13,1094,355341
"58","Hepatitis A","Alaska",1977,39,551,365958
"59","Hepatitis A","Alaska",1978,39,125,377187
"60","Hepatitis A","Alaska",1979,28,61,389118
"61","Hepatitis A","Alaska",1980,14,18,401851
"62","Hepatitis A","Alaska",1981,22,45,415458
"63","Hepatitis A","Alaska",1982,15,17,429850
"64","Hepatitis A","Alaska",1983,22,43,444879
"65","Hepatitis A","Alaska",1984,11,14,460375
"66","Hepatitis A","Alaska",1985,12,18,476138
"67","Hepatitis A","Alaska",1986,21,66,491942
"68","Hepatitis A","Alaska",1987,47,240,507531
"69","Hepatitis A","Alaska",1988,22,268,522622
"70","Hepatitis A","Alaska",1989,33,494,536903
"71","Hepatitis A","Alaska",1990,39,167,550043
"72","Hepatitis A","Alaska",1991,37,80,561769
"73","Hepatitis A","Alaska",1992,32,65,572122
"74","Hepatitis A","Alaska",1993,24,374,581250
"75","Hepatitis A","Alaska",1994,29,163,589317
"76","Hepatitis A","Alaska",1995,39,38,596513
"77","Hepatitis A","Alaska",1996,41,46,603039
"78","Hepatitis A","Alaska",1997,24,20,609112
"79","Hepatitis A","Alaska",1998,30,6,614959
"80","Hepatitis A","Alaska",1999,36,7,620817
"81","Hepatitis A","Alaska",2000,39,8,626932
"82","Hepatitis A","Alaska",2001,40,10,633510
"83","Hepatitis A","Alaska",2002,42,11,640570
"84","Hepatitis A","Alaska",2003,44,8,648078
"85","Hepatitis A","Alaska",2004,43,4,656003
"86","Hepatitis A","Alaska",2005,44,3,664309
"87","Hepatitis A","Alaska",2006,0,0,672961
"88","Hepatitis A","Alaska",2007,42,3,681920
"89","Hepatitis A","Alaska",2008,41,3,691147
"90","Hepatitis A","Alaska",2009,46,6,700599
"91","Hepatitis A","Alaska",2010,24,4,710231
"92","Hepatitis A","Alaska",2011,38,1,720004
"93","Hepatitis A","Arizona",1966,50,415,1572291
"94","Hepatitis A","Arizona",1967,48,390,1615310
"95","Hepatitis A","Arizona",1968,50,425,1661517
"96","Hepatitis A","Arizona",1969,49,528,1712707
"97","Hepatitis A","Arizona",1970,50,615,1770900
"98","Hepatitis A","Arizona",1971,51,896,1837891
"99","Hepatitis A","Arizona",1972,46,660,1913632
"100","Hepatitis A","Arizona",1973,22,160,1997501
"101","Hepatitis A","Arizona",1974,49,512,2088732
