reporting_start,reporting_end,campaign_name,delivery,results,result_indicator,reach,impressions,cost_per_result,amount_spent,end_date,frequency,link_clicks,button_clicks,comments,reactions,shares,engagement
2/4/18,2/4/18,20171215-20180103 Lead Gen Turnkey,completed,,,0,0,,0,1/7/18,0,,0,,,,
2/4/18,2/4/18,20171221-20171231 'A'ali'i Blog Retargeting,completed,,,0,0,,0,12/31/17,0,,0,,,,
2/4/18,2/4/18,20180109-20180111 Lead Gen Turnkey,completed,,,0,0,,0,1/11/18,0,,0,,,,
2/4/18,2/4/18,"Post: ""Names have power. Learn more about the origins of...""",inactive,,,0,0,,0,1/15/18,0,,0,,,,
2/4/18,2/4/18,"Post: ""Shaken, not stirred: Bar Leather Apron provides...""",completed,,,0,0,,0,1/8/18,0,,0,,,,
2/4/18,2/4/18,"Post: ""Catch a movie, take a free yoga class or meet up...""",completed,,,0,0,,0,12/31/17,0,,0,,,,
2/4/18,2/4/18,20171215-20171222 Traffic Rottet,completed,,,0,0,,0,12/22/17,0,,0,,,,
2/4/18,2/4/18,20171228-20180103 Traffic Homefinder,completed,,,0,0,,0,1/3/18,0,,0,,,,
2/4/18,2/4/18,"Post: ""From Nobu to Piggy Smalls, find some of...""",completed,,,0,0,,0,12/24/17,0,,0,,,,
2/4/18,2/4/18,20180109-20180115 'A'ali'i Blog Retargeting,completed,,,0,0,,0,1/15/18,0,,0,,,,
2/4/18,2/4/18,2018011-20180117 Traffic Private Lanai,inactive,,,0,0,,0,1/17/18,0,,0,,,,
2/4/18,2/4/18,20180129-20180202 Lead Gen OO,recently_completed,,,0,0,,0,2/2/18,0,,0,,,,
2/4/18,2/4/18,"Post: ""Honolulu‰Ûªs art scene has never been more...""",active,274,actions:post_engagement,5436,5508,0.200437956,54.92,2/5/18,1.013245033,24,23,1,244,2,274
2/4/18,2/4/18,20180204-20180204 Lead Gen OO,active,7,actions:leadgen.other,4115,4431,14.05571429,98.39,2/4/18,1.076792224,71,0,,17,1,89
2/4/18,2/4/18,20180122-20180127 Lead Gen OO,completed,,,0,0,,0,1/27/18,0,,0,,,,
